3,89,9,32,100,81,1,7,111,45,41
2,17,29,45,106,105,52,2,41,88,72
2,24,37,64,84,100,112,19,1,2,15
3,26,78,1,49,81,56,45,42,75,11
3,113,70,20,102,64,103,104,101,9,2
3,36,105,110,75,100,109,25,7,79,50
3,99,92,95,90,54,16,98,110,78,72
3,19,39,38,63,17,48,96,51,67,33
2,25,106,96,61,40,57,1,99,51,55
2,50,64,78,110,84,28,24,19,14,38
3,102,72,91,41,85,23,74,103,16,19
3,23,50,108,44,29,27,96,22,61,25
2,16,94,25,13,11,55,54,104,76,83
2,105,45,89,101,60,39,40,12,62,107
3,27,9,54,113,110,64,87,30,20,21
2,58,83,51,48,62,52,1,91,66,44
3,43,44,102,49,4,45,7,98,99,19
3,31,7,10,30,12,88,101,62,43,38
3,108,75,89,39,3,85,47,22,93,61
3,57,85,29,113,89,70,62,52,39,82
3,42,102,50,13,6,23,100,39,88,94
2,105,45,86,46,79,47,6,72,21,62
2,72,5,87,44,100,52,58,46,104,33
3,35,58,100,103,109,44,52,36,110,4
2,19,77,58,108,102,92,113,17,3,30
3,83,81,48,51,70,16,36,26,8,87
2,15,72,106,39,55,78,75,28,101,92
2,56,99,82,29,38,36,45,108,71,113
3,10,22,46,51,7,9,74,62,43,54
2,21,63,90,5,28,43,102,48,94,10
3,92,104,15,25,41,10,70,62,60,45
3,80,91,33,7,36,69,98,77,85,106
2,20,35,68,40,100,51,28,112,85,71
3,90,75,31,21,1,13,61,86,16,14
2,51,80,14,12,77,4,47,90,56,8
3,15,47,35,85,44,53,37,1,104,10
3,78,73,21,81,37,14,15,40,10,67
3,22,61,99,48,49,4,90,60,110,96
3,91,40,85,61,110,24,49,112,59,19
2,19,52,108,109,82,65,54,111,38,78
2,23,59,36,17,107,72,66,96,100,34
2,107,77,72,42,45,19,65,109,31,8
2,22,46,27,25,52,40,13,6,106,87
3,28,106,9,18,100,87,30,36,1,58
3,54,112,57,97,67,8,103,3,108,16
2,99,77,47,57,90,88,58,23,82,93
3,81,44,14,100,67,56,113,76,70,111
3,21,62,72,109,54,9,46,28,102,53
3,111,65,3,14,42,61,77,104,93,70
2,24,20,12,43,89,16,22,48,38,95
2,39,51,15,108,45,109,74,44,53,18
2,108,101,29,90,113,75,99,66,14,67
2,49,61,56,87,51,21,34,68,73,99
2,83,36,28,105,78,31,95,37,110,68
2,2,32,64,80,75,52,109,68,66,113
3,29,32,17,85,59,48,16,53,64,57
2,58,110,34,93,76,25,61,55,75,96
3,19,63,113,34,59,108,7,89,40,45
2,49,36,3,88,33,73,4,78,46,48
2,95,58,49,93,12,43,98,52,44,5
3,69,42,61,73,31,84,78,57,94,54
3,33,63,19,16,26,39,68,41,88,11
2,25,51,81,18,66,39,75,84,78,91
3,107,8,25,21,98,30,20,81,19,27
2,7,76,75,45,18,48,111,32,59,85
3,112,1,68,58,9,7,69,2,67,81
2,87,58,4,98,113,38,77,69,92,62
2,2,64,56,87,3,34,61,69,59,84
3,71,12,13,113,57,31,69,11,110,16
2,11,49,72,39,109,19,90,75,51,89
3,34,27,55,21,12,22,77,31,111,83
3,7,2,3,83,96,101,67,25,109,56
